Filename,Transcription
Sticky Note 136,[cat drawing]
Sticky Note 137,Good Job Proud of you!
Sticky Note 138,"Dear Past self, Asking for help is OK :)"
Sticky Note 139,You are doing just fine!
Sticky Note 140,You are smart and capable of anything
Sticky Note 141,Keep it real big dawg. You're cool!
Sticky Note 142,Don't grow up too fast [heart drawing]
Sticky Note 143,Follow your dreams Stay committed! Love!
Sticky Note 144,be amazing in med school [heart]
Sticky Note 145,you will be okay
Sticky Note 146,always smile and believe
Sticky Note 147,don't be afraid to try new things!
Sticky Note 148,Be yourself and you will go far
Sticky Note 149,you'll find your people soon
Sticky Note 150,REMEMBER WHAT TRULEY BRINGS YOU HAPPINESS.
Sticky Note 151,always keep in mind the life you want to live
Sticky Note 152,go toward where you feel most alive
Sticky Note 153,Never forget your time is YOUR time. Don't let people take it!
Sticky Note 154,Compacency isn't kind!
Sticky Note 155,"Dear past self, You're on the right track, don't panic. Your gonna go to RIT [heart]"
Sticky Note 156,Don't stop being yourself and make the most of your time in college [smiley face]
Sticky Note 157,Do your BEST!
Sticky Note 158,Improve your grades!
Sticky Note 159,"ASK HER OUT!! YOU WERE RIGHT, SHE LIKES YOU BACK -PAST"
Sticky Note 160,You'll never know if you never try!
Sticky Note 161,You are doing great...
Sticky Note 162,You are smarter than you think!
Sticky Note 163,keep your friendships alive!
Sticky Note 164,[heart drawing]
Sticky Note 165,"although the phrase ""it gets better' is annoying... it's true {drawing of guy with speech bubble saying ""you got this!"""
Sticky Note 166,just breath!
Sticky Note 167,EFFORT IS COOL! KEEP TRYING NEW THINGS!
Sticky Note 168,TAKE EVERY OPPORTUNITY (but take NO [poop emoji])
Sticky Note 169,You are amazing You will be amazing!!! [small heart] Muffy
Sticky Note 170,you can do it! [cat drawing with two small heart]
Sticky Note 171,"Future me, take the good with the bad"
Sticky Note 172,It [scratched out word] gets better
Sticky Note 173,ALWAYS BE FEARLESS
Sticky Note 174,Everything will workout. Thank u [smiley face with a nose]
Sticky Note 175,"the best thing you can do for yourself, is forgive yourself."
Sticky Note 176,your mistakes do NOT define you!
Sticky Note 177,"To past me, things always go bad before they get good, just hand in there!"
Sticky Note 178,The best thing you can do is learn to love you [hearts]
Sticky Note 179,"Dear past self, just ask. The worst they can do is say no."
Sticky Note 180,The answer is always no if you don't try!
Sticky Note 181,"Dear Past Siare, There will be times you question yourself, but always stay true to who you are & be happy with the journey. "
Sticky Note 182,"Past Me, you were always good enough. Don't let anyone make you think different!"
Sticky Note 183,Eat it up yall! #TECHYEAH
Sticky Note 184,you should watch a scary movie [scream face]
Sticky Note 185,I can't wait for you to figure out who we are. You have a beauty you haven't seen yet! -May
Sticky Note 186,Don't try to impress others & overthink what people think about you .... Nobody has that much time to think about it
Sticky Note 187,Don't worry about the outcome and focus on the present moment.
Sticky Note 188,"The compass was invented before the clock, because direction is more important than time"
Sticky Note 189,run for more power
Sticky Note 190,study
Sticky Note 191,They LIED!!! You DON'T need calculus for programming!!
Sticky Note 192,past me learn how to do a backflip
Sticky Note 193,"God gave you 2 hands, 1 mouth do the math"
Sticky Note 194,Keep Being right all the time
Sticky Note 195,if it sux hit da bricks!!!
Sticky Note 196,"Dear future SelF, I hope you're rich [pink flower with a green stem with leaves]"
Sticky Note 197,YO CAMILA UHHHH YOU BETTER HAVE MONEY
Sticky Note 198,PAST why are you not RiCH ?
Sticky Note 199,Be Rich lol FUTURE
Sticky Note 200,You Are Enough.
Sticky Note 201,F it we [illegible] 
Sticky Note 202,We are so freaking cool so f-ing chill lmao
Sticky Note 203,cring is dead! be yourself!
Sticky Note 204,YOU ARE COOLER THAN YOU THINK!
Sticky Note 205,Do not eat the creme brulee
Sticky Note 206,[drawing of a cat]
Sticky Note 207,Hope the book is doing well
Sticky Note 208,The art looks great on the wall -past self
Sticky Note 209,You didnt crash out abt Calc B You ended up passing [smiley face; thumbs up]
Sticky Note 210,You made it big!!
Sticky Note 211,PAST ME: Start working out inn high school
Sticky Note 212,[animal with outstretched arms]
Sticky Note 213,good job lol [smiley face]
Sticky Note 214,You can do it!
Sticky Note 215,keep smiling [smiley face]
Sticky Note 216,you're awesome!! [happy face]
Sticky Note 217,BE YOURSELF [smiley face]
Sticky Note 218,Never give up!
Sticky Note 219,[flower drawing]
Sticky Note 220,Do spontanus things!!!
Sticky Note 221,[cat drawing] meow
Sticky Note 222,[cat drawing; hearts] Get a cat!
